,horizon,mse,rmse,mae,mape,coverage
17,54 days 00:00:00.000000000,1333.3932819658837,36.51565803824277,28.71054196607465,0.11331289057686575,0.21150442477876102
18,55 days 00:00:00.000000000,1374.633454458396,37.076049606968596,29.200840614643564,0.11570154261925515,0.21091445427728608
19,56 days 00:00:00.000000000,1413.3830914734554,37.59498758443013,29.719360855051637,0.1177888069310048,0.21061946902654866
20,57 days 00:00:00.000000000,1481.602236613734,38.491586569193714,30.450558363399697,0.12059210005371587,0.2109144542772861
21,58 days 00:00:00.000000000,1532.3415480401202,39.14513441080667,30.985830153724613,0.1225510838817798,0.21327433628318587
22,59 days 00:00:00.000000000,1614.6825871924068,40.183113209312275,31.82761499940579,0.12584264859561853,0.2161820480404552
23,60 days 00:00:00.000000000,1683.5302713637802,41.030845364966346,32.49741755086449,0.12856945932282846,0.22566371681415937
24,61 days 00:00:00.000000000,1736.4131480099402,41.6702909518273,33.03535048779783,0.13089625399664295,0.22756005056890025
25,62 days 00:00:00.000000000,1773.581282112233,42.113908416486744,33.466663797442244,0.13308311536315937,0.2256637168141593
26,63 days 00:00:00.000000000,1818.9152365465197,42.64874249666126,34.05413771507774,0.13543992386512133,0.2212389380530973
27,64 days 00:00:00.000000000,1891.2267628928778,43.48823706351958,34.96322275180405,0.13892600077979667,0.21504424778761058
28,65 days 00:00:00.000000000,1954.6979019931632,44.211965597484614,35.69669911040858,0.14155832563156556,0.2130214917825537
29,66 days 00:00:00.000000000,2008.9531996047422,44.821347588004784,36.309332677868355,0.14379574439899417,0.21460176991150437
30,67 days 00:00:00.000000000,2049.9893302425057,45.276807862773474,36.796176623190775,0.1456972117682942,0.21386430678466073
31,68 days 00:00:00.000000000,2074.1363413151407,45.54268702344143,37.07582893026524,0.14687245320116238,0.21175726927939326
32,69 days 00:00:00.000000000,2107.3488015760513,45.90586892300429,37.46057085890929,0.14869078136570898,0.20648967551622427
33,70 days 00:00:00.000000000,2114.700544361811,45.985873313027454,37.59399961553047,0.1492581591964229,0.20132743362831862
34,71 days 00:00:00.000000000,2149.4141374220417,46.3617745283983,38.036613596166205,0.15086696196160293,0.1998525073746313
35,72 days 00:00:00.000000000,2187.4874055401547,46.77058269404129,38.43590525590942,0.15212240760146312,0.20353982300884962
36,73 days 00:00:00.000000000,2205.8073216047787,46.966023055021154,38.61521982543166,0.15270042210242482,0.2079646017699114
